Code,Link,Date Of Issue,Department,Title,Meant For,PDF Filename,S3 URL,Extraction Timestamp,Update Timestamp,Verification Timestamp
RBI/2024-2025/126FMRD.FMD.No.10/14.01.006/2024-25,https://website.rbi.org.in/web/rbi/-/master-direction-reserve-bank-of-india-non-resident-investment-in-debt-instruments-directions-2025,"Jan 07, 2025",Financial Markets Regulation Department,"Master Direction - Reserve Bank of India (Non-resident Investment in Debt Instruments) Directions, 2025",All Authorised Persons,Master_Direction___Reserve_Bank_of_India_Non_resid_20250108030640.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Master_Direction___Reserve_Bank_of_India_Non_resid_20250108030640.pdf,2025-01-08T03:06:47.567923,,
RBI/DoR/2024-2025/125DoR.FIN.REC.No. 55/20.16.056/2024-25,https://website.rbi.org.in/web/rbi/-/notifications/master-direction-reserve-bank-of-india-credit-information-reporting-directions-2025,"Jan 06, 2025",Department of Regulation,"Master Direction – Reserve Bank of India (Credit Information Reporting) Directions, 2025","All Commercial Banks including Small Finance Banks, Local Area Banks and Regional Rural Banks and excluding Payment Banks All Primary (Urban) Co-operative Banks/ State Co-operative Banks/ Central Co-operative Banks All India Financial Institutions (Exim Bank, NABARD, NHB, SIDBI and NaBFID) All Non-Banking Financial Companies including Housing Finance Companies All Asset Reconstruction Companies All Credit Information Companies",Master_Direction__Reserve_Bank_of_India_Credit_Inf_20250108030647.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Master_Direction__Reserve_Bank_of_India_Credit_Inf_20250108030647.pdf,2025-01-08T03:06:55.003667,,
RBI/2024-25/103 CO.DGBA.GBD.No.S770/42-01-029/2024-2025,https://website.rbi.org.in/web/rbi/-/notifications/status-of-march-30-2025-for-government-transactions-through-integration-with-e-kuber,"Jan 03, 2025",Department of Government and Bank Accounts,"Status of March 30, 2025 for Government transactions through integration with e-Kuber",All Agency Banks,Status_of_March_30_2025_for_Government_transaction_20250108030655.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Status_of_March_30_2025_for_Government_transaction_20250108030655.pdf,2025-01-08T03:07:00.983876,,
RBI/2024-25/102 FIDD.CO.LBS.BC.No.11/02.08.001/2024-25,https://website.rbi.org.in/web/rbi/-/notifications/formation-of-new-district-in-the-state-of-nagaland-assignment-of-lead-bank-responsibility,"Jan 02, 2025",Financial Inclusion and Development Department,Formation of new district in the State of Nagaland – Assignment of Lead Bank Responsibility,The Chairman / Managing Director & Chief Executive Officer Lead Banks Concerned,Formation_of_new_district_in_the_State_of_Nagaland_20250108030700.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Formation_of_new_district_in_the_State_of_Nagaland_20250108030700.pdf,2025-01-08T03:07:06.817811,,
RBI/2024-2025/101FMRD.DIRD.No.09/14.03.004/2024-25,https://website.rbi.org.in/web/rbi/-/notifications/participation-of-nabfid-as-an-aifi-in-financial-markets,"Jan 01, 2025",Financial Markets Regulation Department,Participation of NaBFID as an AIFI in financial markets,All eligible market participants,Participation_of_NaBFID_as_an_AIFI_in_financial_ma_20250108030706.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Participation_of_NaBFID_as_an_AIFI_in_financial_ma_20250108030706.pdf,2025-01-08T03:07:15.040766,,
RBI/2024-25/100DOR.STR.REC.54/21.04.048/2024-25,https://website.rbi.org.in/web/rbi/-/notifications/government-debt-relief-schemes-drs-,"Dec 31, 2024",Department of Regulation,Government Debt Relief Schemes (DRS),All Commercial Banks (including Regional Rural Banks and Local Area Banks) All Primary (Urban) Co-operative Banks All State Cooperative Banks & Central Cooperative Banks All Non-Banking Financial Companies (including Housing Finance Companies) All All-India Financial Institutions,Government_Debt_Relief_Schemes_DRS_20250108030715.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Government_Debt_Relief_Schemes_DRS_20250108030715.pdf,2025-01-08T03:07:20.769155,,
RBI/2024-2025/99CO.DPSS.RPPD.No.S987/ 04.03.001/ 2024-25,https://website.rbi.org.in/web/rbi/-/notifications/introduction-of-beneficiary-bank-account-name-look-up-facility-for-real-time-gross-settlement-rtgs-and-national-electronic-funds-transfer-neft-systems,"Dec 30, 2024",Department of Payment and Settlement Systems,Introduction of beneficiary bank account name look-up facility for Real Time Gross Settlement (RTGS) and National Electronic Funds Transfer (NEFT) Systems,The Chairman / Managing Director / Chief Executive Officer of Banks participating in RTGS and NEFT systems,Introduction_of_beneficiary_bank_account_name_look_20250108030720.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Introduction_of_beneficiary_bank_account_name_look_20250108030720.pdf,2025-01-08T03:07:26.804067,,
RBI/2024-2025/98FMRD.FMD.No. 08/02.03.185/2024-25,https://website.rbi.org.in/web/rbi/-/notifications/reporting-platform-for-transactions-undertaken-to-hedge-price-risk-of-gold,"Dec 27, 2024",Financial Markets Regulation Department,Reporting Platform for transactions undertaken to hedge price risk of gold,All Authorised Dealer Category-I Banks,Reporting_Platform_for_transactions_undertaken_to__20250108030726.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Reporting_Platform_for_transactions_undertaken_to__20250108030726.pdf,2025-01-08T03:07:38.476533,,
RBI/2024-2025/97CO.DPSS.POLC.No.S972/02-14-006/2024-25,https://website.rbi.org.in/web/rbi/-/notifications/unified-payments-interface-upi-access-for-prepaid-payment-instruments-ppis-through-third-party-applications,"Dec 27, 2024",Department of Payment and Settlement Systems,Unified Payments Interface (UPI) access for Prepaid Payment Instruments (PPIs) through third-party applications,"All Prepaid Payment Instrument Issuers (Banks and Non-banks), National Payments Corporation of India (NPCI) and System Participants",Unified_Payments_Interface_UPI_access_for_Prepaid__20250108030738.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Unified_Payments_Interface_UPI_access_for_Prepaid__20250108030738.pdf,2025-01-08T03:07:44.374363,,
RBI/2024-2025/96FIDD.CO.FSD.BC.No.10/05.05.010/2024-25,https://website.rbi.org.in/web/rbi/-/notifications/credit-flow-to-agriculture-collateral-free-agricultural-loans,"Dec 06, 2024",Financial Inclusion and Development Department,Credit Flow to Agriculture – Collateral free agricultural loans,The Chairman / Managing Director / Chief Executive Officer All Scheduled Commercial Banks (including Regional Rural Banks and Small Finance Banks) All State Co-operative Banks and District Central Co-operative Banks,Credit_Flow_to_Agriculture__Collateral_free_agricu_20250108030744.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Credit_Flow_to_Agriculture__Collateral_free_agricu_20250108030744.pdf,2025-01-08T03:07:49.896443,,
