Title,Date Of Issue,Link,Document Code,Departments,PDF Filename,S3 URL,Extraction Timestamp,Update Timestamp,Verification Timestamp
"Master Direction - Reserve Bank of India (Non-resident Investment in Debt Instruments) Directions, 2025","Jan 07, 2025",https://website.rbi.org.in/web/rbi/-/master-direction-reserve-bank-of-india-non-resident-investment-in-debt-instruments-directions-2025,,,,,2025-01-08 17:07:57,2025-01-08 17:07:57,2025-01-08 17:07:57
"Master Direction – Reserve Bank of India (Credit Information Reporting) Directions, 2025","Jan 06, 2025",https://website.rbi.org.in/web/rbi/-/notifications/master-direction-reserve-bank-of-india-credit-information-reporting-directions-2025,RBI/DoR/2024-25/125DoR.FIN.REC.No. 55/20.16.056/2024-25,,Master_Direction___Reserve_Bank_of_India__Credit_I,https://rbi-docs-storage.s3.amazonaws.com/MasterDirections/Master_Direction___Reserve_Bank_of_India__Credit_I,2025-01-08 17:10:23,2025-01-08 17:10:23,2025-01-08 17:10:23
"Reserve Bank of India (Access Criteria for NDS-OM) Directions, 2024","Oct 18, 2024",https://website.rbi.org.in/web/rbi/-/notifications/reserve-bank-of-india-access-criteria-for-nds-om-directions-2024,RBI/FMRD/2024-25/124FMRD.MIOD.No.04/11.01.041/2024-25,,Reserve_Bank_of_India__Access_Criteria_for_NDS-OM_,https://rbi-docs-storage.s3.amazonaws.com/MasterDirections/Reserve_Bank_of_India__Access_Criteria_for_NDS-OM_,2025-01-08 17:10:49,2025-01-08 17:10:49,2025-01-08 17:10:49
Master Directions on Cyber Resilience and Digital Payment Security Controls for non-bank Payment System Operators,"Jul 30, 2024",https://website.rbi.org.in/web/rbi/-/notifications/master-directions-on-cyber-resilience-and-digital-payment-security-controls-for-non-bank-payment-system-operators,RBI/DPSS/2024-25/123CO.DPSS.OVRST.No.S447/06-26-002/2024-25,The Chairman / Managing Director / Chief Executive OfficerAuthorised Non-bank Payment System Operators,Master_Directions_on_Cyber_Resilience_and_Digital_,https://rbi-docs-storage.s3.amazonaws.com/MasterDirections/Master_Directions_on_Cyber_Resilience_and_Digital_,2025-01-08 17:11:14,2025-01-08 17:11:14,2025-01-08 17:11:14
Master Direction on Treatment of Wilful Defaulters and Large Defaulters,"Jul 30, 2024",https://website.rbi.org.in/web/rbi/-/notifications/master-direction-on-treatment-of-wilful-defaulters-and-large-defaulters,RBI/DoR/2024-25/122DoR.FIN.REC.No.31/20.16.003/2024-25,"(v) In case of RRBs, the chairman of the RRB shall be the chairperson of the committee and two directors nominated under clause 9.1 (a) or 9.1 (d) of the Regional Rural Banks Act, 1976 shall be the members.",Master_Direction_on_Treatment_of_Wilful_Defaulters,https://rbi-docs-storage.s3.amazonaws.com/MasterDirections/Master_Direction_on_Treatment_of_Wilful_Defaulters,2025-01-08 17:12:22,2025-01-08 17:12:22,2025-01-08 17:12:22
Master Direction - Overseas Investment,"Jul 24, 2024",https://website.rbi.org.in/web/rbi/-/notifications/master-direction-overseas-investment,RBI/FED/2024-25/121FED Master Direction No.15/2024-25,,Master_Direction_-_Overseas_Investment_20250108171,https://rbi-docs-storage.s3.amazonaws.com/MasterDirections/Master_Direction_-_Overseas_Investment_20250108171,2025-01-08 17:13:00,2025-01-08 17:13:00,2025-01-08 17:13:00
Master Directions on Fraud Risk Management in Non-Banking Financial Companies (NBFCs) (including Housing Finance Companies),"Jul 15, 2024",https://website.rbi.org.in/web/rbi/-/notifications/master-directions-fraud-risk-management-in-non-banking-financial-companies-nbfcs-including-housing-finance-companies-,RBI/DOS/2024-25/120DOS.CO.FMG.SEC.No.7/23.04.001/2024-25,10Managing Director where the Chief Executive Officer is not a whole-time director.,Master_Directions_on_Fraud_Risk_Management_in_Non-,https://rbi-docs-storage.s3.amazonaws.com/MasterDirections/Master_Directions_on_Fraud_Risk_Management_in_Non-,2025-01-08 17:13:24,2025-01-08 17:13:24,2025-01-08 17:13:24
Master Directions on Fraud Risk Management in Urban Cooperative Banks (UCBs) / State Cooperative Banks (StCBs) / Central Cooperative Banks (CCBs),"Jul 15, 2024",https://website.rbi.org.in/web/rbi/-/notifications/master-directions-on-fraud-risk-management-in-urban-cooperative-banks-ucbs-/-state-cooperative-banks-stcbs-/-central-cooperative-banks-ccbs-,RBI/DOS/2024-25/119DOS.CO.FMG.SEC.No.6/23.04.001/2024-25,"4.3.2 In cases involving very senior executives of the Cooperative Banks (MD & CEO / Chief Executive Officer / Executives of equivalent rank)19, the ACB shall initiate examination of their accountability and place before the Board.",Master_Directions_on_Fraud_Risk_Management_in_Urba,https://rbi-docs-storage.s3.amazonaws.com/MasterDirections/Master_Directions_on_Fraud_Risk_Management_in_Urba,2025-01-08 17:13:47,2025-01-08 17:13:47,2025-01-08 17:13:47
Master Directions on Fraud Risk Management in Commercial Banks (including Regional Rural Banks) and All India Financial Institutions,"Jul 15, 2024",https://website.rbi.org.in/web/rbi/-/notifications/master-directions-on-fraud-risk-management-in-commercial-banks-including-regional-rural-banks-and-all-india-financial-institutions,RBI/2024-25/118DOS. CO. FMG. SEC. No.5 /23.04.001/2024-25,The Chairman / Managing Director / Chief Executive OfficerAll Commercial Banks (including Regional Rural Banks)All India Financial Institutions (AIFIs)*,Master_Directions_on_Fraud_Risk_Management_in_Comm,https://rbi-docs-storage.s3.amazonaws.com/MasterDirections/Master_Directions_on_Fraud_Risk_Management_in_Comm,2025-01-08 17:14:09,2025-01-08 17:14:09,2025-01-08 17:14:09
"Master Direction – Reserve Bank of India (Margining for Non-Centrally Cleared OTC Derivatives) Directions, 2024","May 08, 2024",https://website.rbi.org.in/web/rbi/-/notifications/master-direction-reserve-bank-of-india-margining-for-non-centrally-cleared-otc-derivatives-directions-2024,RBI/FMRD/2024-25/117FMRD.DIRD.01/14.01.023/2024-25,,Master_Direction___Reserve_Bank_of_India__Marginin,https://rbi-docs-storage.s3.amazonaws.com/MasterDirections/Master_Direction___Reserve_Bank_of_India__Marginin,2025-01-08 17:14:46,2025-01-08 17:14:46,2025-01-08 17:14:46
