Title,Date Of Issue,Link,Code,PDF Link,PDF Filename,S3 URL,Extraction Timestamp,Update Timestamp,Verification Timestamp
"Status of March 30, 2025 for Government transactions through integration with e-Kuber","Jan 03, 2025",https://website.rbi.org.in/web/rbi/-/notifications/status-of-march-30-2025-for-government-transactions-through-integration-with-e-kuber,RBI/2024-25/103 CO.DGBA.GBD.No.S770/42-01-029/2024-2025,https://website.rbi.org.in/documents/87730/39710850/Status+of+March+30%2C+2025+for+Government+transactions+through+integration+with.pdf,RBI_2024-25_103_CO_DGBA_GBD_No_S770_42-01-029_2024-2025_20250107221011.pdf,https://rbi-docs-storage.s3.amazonaws.com/NotificationsRBI_2024-25_103_CO_DGBA_GBD_No_S770_42-01-029_2024-2025_20250107221011.pdf,2025-01-07 22:10:11,2025-01-07 22:10:11,2025-01-07 22:10:11
Formation of new district in the State of Nagaland – Assignment of Lead Bank Responsibility,"Jan 02, 2025",https://website.rbi.org.in/web/rbi/-/notifications/formation-of-new-district-in-the-state-of-nagaland-assignment-of-lead-bank-responsibility,RBI/2024-25/102 FIDD.CO.LBS.BC.No.11/02.08.001/2024-25,https://website.rbi.org.in/documents/87730/39710850/Formation+of+new+district+in+the+State+of+Nagaland.pdf,RBI_2024-25_102_FIDD_CO_LBS_BC_No_11_02_08_001_2024-25_20250107221017.pdf,https://rbi-docs-storage.s3.amazonaws.com/NotificationsRBI_2024-25_102_FIDD_CO_LBS_BC_No_11_02_08_001_2024-25_20250107221017.pdf,2025-01-07 22:10:17,2025-01-07 22:10:17,2025-01-07 22:10:17
Participation of NaBFID as an AIFI in financial markets,"Jan 01, 2025",https://website.rbi.org.in/web/rbi/-/notifications/participation-of-nabfid-as-an-aifi-in-financial-markets,RBI/2024-25/101 FMRD.DIRD.No.09/14.03.004/2024-25,https://website.rbi.org.in/documents/87730/39710850/ParticipationofNaBFIDasanAIFIinfinancialmarketsCircularJanuary012025.pdf,RBI_2024-25_101_FMRD_DIRD_No_09_14_03_004_2024-25_20250107221022.pdf,https://rbi-docs-storage.s3.amazonaws.com/NotificationsRBI_2024-25_101_FMRD_DIRD_No_09_14_03_004_2024-25_20250107221022.pdf,2025-01-07 22:10:22,2025-01-07 22:10:22,2025-01-07 22:10:22
Government Debt Relief Schemes (DRS),"Dec 31, 2024",https://website.rbi.org.in/web/rbi/-/notifications/government-debt-relief-schemes-drs-,RBI/2024-25/100 DOR.STR.REC.54/21.04.048/2024-25,https://website.rbi.org.in/documents/87730/39710850/DRSCircularFinalVersion31122024.pdf,RBI_2024-25_100_DOR_STR_REC_54_21_04_048_2024-25_20250107221027.pdf,https://rbi-docs-storage.s3.amazonaws.com/NotificationsRBI_2024-25_100_DOR_STR_REC_54_21_04_048_2024-25_20250107221027.pdf,2025-01-07 22:10:27,2025-01-07 22:10:27,2025-01-07 22:10:27
Introduction of beneficiary bank account name look-up facility for Real Time Gross Settlement (RTGS) and National Electronic Funds Transfer (NEFT) Systems,"Dec 30, 2024",https://website.rbi.org.in/web/rbi/-/notifications/introduction-of-beneficiary-bank-account-name-look-up-facility-for-real-time-gross-settlement-rtgs-and-national-electronic-funds-transfer-neft-systems,RBI/2024-25/99 CO.DPSS.RPPD.No.S987/ 04.03.001/ 2024-25,https://website.rbi.org.in/documents/87730/39710850/FinalCircularIntroductionofbeneficiarybankaccountname.pdf,RBI_2024-25_99_CO_DPSS_RPPD_No_S987_04_03_001_2024-25_20250107221031.pdf,https://rbi-docs-storage.s3.amazonaws.com/NotificationsRBI_2024-25_99_CO_DPSS_RPPD_No_S987_04_03_001_2024-25_20250107221031.pdf,2025-01-07 22:10:31,2025-01-07 22:10:31,2025-01-07 22:10:31
Reporting Platform for transactions undertaken to hedge price risk of gold,"Dec 27, 2024",https://website.rbi.org.in/web/rbi/-/notifications/reporting-platform-for-transactions-undertaken-to-hedge-price-risk-of-gold,RBI/2024-25/98<br> FMRD.FMD.No. 08/02.03.185/2024-25,https://website.rbi.org.in/documents/87730/39710850/Final+Directions_Dec+27+2024.pdf,RBI_2024-25_98_br_FMRD_FMD_No_08_02_03_185_2024-25_20250107221035.pdf,https://rbi-docs-storage.s3.amazonaws.com/NotificationsRBI_2024-25_98_br_FMRD_FMD_No_08_02_03_185_2024-25_20250107221035.pdf,2025-01-07 22:10:35,2025-01-07 22:10:35,2025-01-07 22:10:35
Unified Payments Interface (UPI) access for Prepaid Payment Instruments (PPIs) through third-party applications,"Dec 27, 2024",https://website.rbi.org.in/web/rbi/-/notifications/unified-payments-interface-upi-access-for-prepaid-payment-instruments-ppis-through-third-party-applications,RBI/2024-25/97 CO.DPSS.POLC.No.S972/02-14-006/2024-25,https://website.rbi.org.in/documents/87730/39710850/CircularUPIaccessforPPIsthroughthirdpartyapplications.pdf,RBI_2024-25_97_CO_DPSS_POLC_No_S972_02-14-006_2024-25_20250107221039.pdf,https://rbi-docs-storage.s3.amazonaws.com/NotificationsRBI_2024-25_97_CO_DPSS_POLC_No_S972_02-14-006_2024-25_20250107221039.pdf,2025-01-07 22:10:39,2025-01-07 22:10:39,2025-01-07 22:10:39
Credit Flow to Agriculture – Collateral free agricultural loans,"Dec 06, 2024",https://website.rbi.org.in/web/rbi/-/notifications/credit-flow-to-agriculture-collateral-free-agricultural-loans,RBI/2024-25/96 FIDD.CO.FSD.BC.No.10/05.05.010/2024-25,https://website.rbi.org.in/documents/87730/39710850/FinalCircular6122024.pdf,RBI_2024-25_96_FIDD_CO_FSD_BC_No_10_05_05_010_2024-25_20250107221044.pdf,https://rbi-docs-storage.s3.amazonaws.com/NotificationsRBI_2024-25_96_FIDD_CO_FSD_BC_No_10_05_05_010_2024-25_20250107221044.pdf,2025-01-07 22:10:44,2025-01-07 22:10:44,2025-01-07 22:10:44
Maintenance of Cash Reserve Ratio (CRR),"Dec 06, 2024",https://website.rbi.org.in/web/rbi/-/notifications/maintenance-of-cash-reserve-ratio-crr-,RBI/2024-25/95 DoR.RET.REC.52/12.01.001/2024-25,https://website.rbi.org.in/documents/87730/39710850/CircularonCRR_06122024.pdf,RBI_2024-25_95_DoR_RET_REC_52_12_01_001_2024-25_20250107221049.pdf,https://rbi-docs-storage.s3.amazonaws.com/NotificationsRBI_2024-25_95_DoR_RET_REC_52_12_01_001_2024-25_20250107221049.pdf,2025-01-07 22:10:49,2025-01-07 22:10:49,2025-01-07 22:10:49
Interest Rates on Foreign Currency (Non-resident) Accounts (Banks) [FCNR(B)] Deposits,"Dec 06, 2024",https://website.rbi.org.in/web/rbi/-/notifications/interest-rates-on-foreign-currency-non-resident-accounts-banks-fcnr-b-deposits,"RBI/2024-25/94 DoR.SPE.REC.No.51/13.03.00/2024-2025 December 06, 2024 All Scheduled Commercial Banks (including Regional Rural Banks) All Small Finance Banks All Local Area Banks All Payments Banks All Primary (Urban) Co-operative Banks/ DCCBs /State Cooperative Banks Madam / Sir, Interest Rates on Foreign Currency (Non-resident) Accounts (Banks) [FCNR(B)] Deposits Please refer to paragraph 2 of the Statement on Developmental and Regulatory Policies issued as a part of theBi-monthly Monetary Policy Statement for 2024-25 dated December 06, 2024 read with instructions regarding interest rates on FCNR(B) deposits contained in Section 19 of the Master Direction (MD) on Interest Rate on Deposits dated",https://website.rbi.org.in/documents/87730/39710850/Interest+Rates+on+Foreign+Currency+%28Non-resident%29+Accounts+%28Banks%29+%5BFCNR%28B%29%5D+Deposits+.pdf,RBI_2024-25_94_DoR_SPE_REC_No_51_13_03_00_2024-2025_December_06_2024_All_Scheduled_Commercial_Banks__20250107221054.pdf,N/A,2025-01-07 22:10:54,2025-01-07 22:10:54,2025-01-07 22:10:54
